strata,filter,class,value,labels,variable,var_long,facet_label
3,var,dhi,0.30727264285087585,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,1.1465858221054077,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.45680126547813416,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.4139643907546997,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.7788666486740112,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.7727375030517578,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.731717824935913,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.8204699158668518,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.326637327671051,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.13811825215816498,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.2656208276748657,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.4523978531360626,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.86238956451416,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.052517037838697433,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.11903079599142075,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.002918343525379896,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,2.091679573059082,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.031861238181591034,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.207872986793518,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.9326536059379578,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.9306985139846802,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.053420960903167725,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.9466514587402344,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.8172107934951782,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.7633289694786072,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.08387183398008347,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.2252800613641739,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.001130665303207934,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.38795211911201477,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.04658966138958931,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.449096441268921,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.12493544816970825,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.6538236141204834,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.06877540051937103,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.22519361972808838,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.7203148603439331,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.9432694315910339,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,1.7770546674728394,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.4463392496109009,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.41413211822509766,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,1.1178462505340576,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.8767870664596558,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.26400741934776306,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,1.8528975248336792,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.4281778335571289,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.5384942293167114,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,1.679548740386963,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.20355786383152008,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.2405240535736084,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,1.90544593334198,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.04801573231816292,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.2787540555000305,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.8885744214057922,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.1743612140417099,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.693705439567566,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.5276597738265991,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.39154309034347534,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.024844439700245857,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,1.9701300859451294,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.2970777750015259,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.1778937131166458,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.8704144954681396,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.028170373290777206,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.11496787518262863,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.1177268996834755,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.07643776386976242,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.3566806316375732,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.22939996421337128,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.7264370918273926,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.11988797783851624,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
