strata,filter,class,value,labels,variable,var_long,facet_label
3,cover,str,8.239823509939015e-4,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.48722848296165466,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.0789908617734909,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.8272892236709595,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.35281306505203247,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.6810539364814758,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.13478653132915497,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.16235177218914032,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.5327454805374146,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,6.804007530212402,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,2.531960964202881,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.28047406673431396,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.6072531342506409,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.06820009648799896,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,1.2198270559310913,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.184891700744629,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.5090315937995911,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.2821936011314392,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.07067044079303741,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.6775988936424255,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.21320725977420807,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.8593205213546753,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,1,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.23849715292453766,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,1.2515937089920044,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,6.580479621887207,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,14.776792526245117,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.17891563475131989,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
